pmulqr.h-01	rv32	PASS
pli.db-01	rv32	PASS
pli.dh-01	rv32	PASS
plui.dh-01	rv32	PASS
pwslai.b-01	rv32	PASS
pwslai.h-01	rv32	PASS
pwslli.b-01	rv32	PASS
pwslli.h-01	rv32	PASS
wslai-01	rv32	PASS
wslli-01	rv32	PASS
pm2wadd.h-01	rv32	PASS
pm2wadd.hx-01	rv32	PASS
pm2wadda.h-01	rv32	PASS
pm2wadda.hx-01	rv32	PASS
pm2waddasu.h-01	rv32	PASS
pm2waddau.h-01	rv32	PASS
pm2waddsu.h-01	rv32	PASS
pm2waddu.h-01	rv32	PASS
pm2wsub.h-01	rv32	PASS
pm2wsub.hx-01	rv32	PASS
pm2wsuba.h-01	rv32	PASS
pm2wsuba.hx-01	rv32	PASS
pmqrwacc.h-01	rv32	PASS
pmqwacc.h-01	rv32	PASS
pwadd.b-01	rv32	PASS
pwadd.h-01	rv32	PASS
pwadda.b-01	rv32	PASS
pwadda.h-01	rv32	PASS
pwaddau.b-01	rv32	PASS
pwaddau.h-01	rv32	PASS
pwaddu.b-01	rv32	PASS
pwaddu.h-01	rv32	PASS
pwmacc.h-01	rv32	PASS
pwmaccsu.h-01	rv32	PASS
pwmaccu.h-01	rv32	PASS
pwmul.b-01	rv32	PASS
pwmul.h-01	rv32	PASS
pwmulsu.b-01	rv32	PASS
pwmulsu.h-01	rv32	PASS
pwmulu.b-01	rv32	PASS
pwmulu.h-01	rv32	PASS
pwsla.bs-01	rv32	PASS
pwsla.hs-01	rv32	PASS
pwsll.bs-01	rv32	PASS
pwsll.hs-01	rv32	PASS
pwsub.b-01	rv32	PASS
pwsub.h-01	rv32	PASS
pwsuba.b-01	rv32	PASS
pwsuba.h-01	rv32	PASS
pwsubau.b-01	rv32	PASS
pwsubau.h-01	rv32	PASS
pwsubu.b-01	rv32	PASS
pwsubu.h-01	rv32	PASS
wadd-01	rv32	PASS
wadda-01	rv32	PASS
waddau-01	rv32	PASS
waddu-01	rv32	PASS
wmacc-01	rv32	PASS
wmaccsu-01	rv32	PASS
wmaccu-01	rv32	PASS
wmul-01	rv32	PASS
wmulsu-01	rv32	PASS
wmulu-01	rv32	PASS
wsla-01	rv32	PASS
wsll-01	rv32	PASS
